Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\Ketamine_6_jpg.rf.fd73cee18ddc6e3ca93ac0133df6d2fd.jpg,Ketamine,0.27,"[401.0091247558594, 0.0, 510.82623291015625, 83.2033920288086]",
dataset\train\images\Ketamine_7_jpg.rf.83a668656e8249630303398e5991c0f5.jpg,Heroin,0.83,"[3.506787061691284, 0.0, 360.80645751953125, 323.91021728515625]",
dataset\train\images\Ketamine_7_jpg.rf.83a668656e8249630303398e5991c0f5.jpg,Heroin,0.76,"[1.266015648841858, 121.43232727050781, 237.9304656982422, 508.2923889160156]",
dataset\train\images\Ketamine_7_jpg.rf.83a668656e8249630303398e5991c0f5.jpg,Heroin,0.59,"[224.531494140625, 111.145263671875, 512.0, 512.0]",
dataset\train\images\Ketamine_7_jpg.rf.83a668656e8249630303398e5991c0f5.jpg,Heroin,0.34,"[245.136474609375, 0.0, 510.04168701171875, 243.969482421875]",
dataset\train\images\Ketamine_8_jpg.rf.0cea40f66fbeec89a02214f0394f5981.jpg,Ketamine,0.87,"[63.70746994018555, 230.01132202148438, 237.6114044189453, 508.6451110839844]",
dataset\train\images\Ketamine_8_jpg.rf.0cea40f66fbeec89a02214f0394f5981.jpg,Ketamine,0.77,"[96.14726257324219, 48.032958984375, 351.05303955078125, 288.8155822753906]",
dataset\train\images\Ketamine_8_jpg.rf.0cea40f66fbeec89a02214f0394f5981.jpg,Ketamine,0.76,"[0.0, 233.55355834960938, 93.65739440917969, 512.0]",
dataset\train\images\Ketamine_8_jpg.rf.0cea40f66fbeec89a02214f0394f5981.jpg,Ketamine,0.76,"[1.0639159679412842, 66.5730209350586, 161.18161010742188, 318.970947265625]",
dataset\train\images\Ketamine_9_jpg.rf.c5a0b090629ffb617b4e1975739628bb.jpg,Ketamine,0.91,"[109.5556640625, 84.23149108886719, 321.05718994140625, 505.8277893066406]",
dataset\train\images\MDMA_1_jpg.rf.e5389e08f82e7090db35e9dc46867255.jpg,Mdma,0.99,"[199.03518676757812, 30.85205078125, 512.0, 359.53387451171875]",
dataset\train\images\MDMA_1_jpg.rf.e5389e08f82e7090db35e9dc46867255.jpg,Mdma,0.91,"[198.414306640625, 25.883739471435547, 512.0, 495.8272399902344]",
dataset\train\images\MDMA_1_jpg.rf.e5389e08f82e7090db35e9dc46867255.jpg,Mdma,0.75,"[218.6100616455078, 272.153076171875, 512.0, 512.0]",
dataset\train\images\MDMA_1_jpg.rf.e5389e08f82e7090db35e9dc46867255.jpg,Mdma,0.61,"[0.10727538913488388, 0.0, 124.34474182128906, 164.77780151367188]",
dataset\train\images\MDMA_2_jpg.rf.2bb5076ba7de468aed73d1aad25c9386.jpg,Mdma,0.95,"[18.5252685546875, 48.4638671875, 376.4736328125, 439.5135803222656]",
dataset\train\images\MDMA_2_jpg.rf.2bb5076ba7de468aed73d1aad25c9386.jpg,Mdma,0.50,"[424.8221740722656, 56.859596252441406, 512.0, 217.8789520263672]",
dataset\train\images\MDMA_2_jpg.rf.2bb5076ba7de468aed73d1aad25c9386.jpg,Mdma,0.46,"[27.1495361328125, 343.41912841796875, 361.73797607421875, 511.9515686035156]",
dataset\train\images\MDMA_2_jpg.rf.2bb5076ba7de468aed73d1aad25c9386.jpg,Mdma,0.33,"[26.17626953125, 274.05413818359375, 358.85955810546875, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.37cd8221a5518e0d631f95e5587e24df.jpg,Mdma,0.89,"[0.0, 78.43672180175781, 489.66632080078125, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.4bbadb4e6e17ccfbe73af91b52f1792b.jpg,Mdma,0.95,"[61.78857421875, 14.205957412719727, 509.10321044921875, 427.37841796875]",
dataset\train\images\MDMA_2_jpg.rf.51e495743de25844e71764702bad884c.jpg,Mdma,0.97,"[101.9544448852539, 2.771777391433716, 508.79803466796875, 386.76251220703125]",
dataset\train\images\MDMA_2_jpg.rf.51e495743de25844e71764702bad884c.jpg,Mdma,0.72,"[203.36441040039062, 421.10009765625, 498.64141845703125, 511.7491149902344]",
dataset\train\images\MDMA_2_jpg.rf.68927404dedff760ebfb9934a6652566.jpg,Mdma,0.92,"[32.239845275878906, 100.218505859375, 512.0, 507.47784423828125]",
dataset\train\images\MDMA_2_jpg.rf.776f4a03380673cbe3c466111ce4bc56.jpg,Mdma,0.94,"[77.45356750488281, 0.0, 507.98406982421875, 406.82598876953125]",
dataset\train\images\MDMA_2_jpg.rf.88ebadda10daf66720e18ae757ab2975.jpg,Mdma,0.94,"[164.1494140625, 80.4319839477539, 512.0, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.88ebadda10daf66720e18ae757ab2975.jpg,Mdma,0.75,"[0.0, 36.252685546875, 88.81220245361328, 223.47958374023438]",
dataset\train\images\MDMA_2_jpg.rf.88ebadda10daf66720e18ae757ab2975.jpg,Mdma,0.41,"[171.4924774169922, 270.15771484375, 510.1958923339844, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.9bb832c11c69917749312e562da5da7f.jpg,Mdma,0.94,"[38.236572265625, 98.5623550415039, 510.7801208496094, 503.9964904785156]",
dataset\train\images\MDMA_2_jpg.rf.c5861d3fd4fd2a4d3a7d91ff6bd77a46.jpg,Mdma,0.98,"[19.3897705078125, 70.90238952636719, 372.65692138671875, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.c5861d3fd4fd2a4d3a7d91ff6bd77a46.jpg,Mdma,0.25,"[26.374364852905273, 266.9068298339844, 350.73223876953125, 511.61309814453125]",
dataset\train\images\MDMA_2_jpg.rf.cdb2a3087516ced5fe25146c8ea65f58.jpg,Mdma,0.98,"[2.239990234375, 81.90058898925781, 376.5051574707031, 512.0]",
dataset\train\images\MDMA_2_jpg.rf.cdb2a3087516ced5fe25146c8ea65f58.jpg,Mdma,0.60,"[7.472900390625, 353.46527099609375, 361.34130859375, 511.5654296875]",
dataset\train\images\MDMA_2_jpg.rf.cdb2a3087516ced5fe25146c8ea65f58.jpg,Mdma,0.47,"[412.4486389160156, 24.121479034423828, 512.0, 221.93905639648438]",
dataset\train\images\MDMA_3_jpg.rf.dec0563ec295d32fc4489febda054158.jpg,,,,No objects detected
dataset\train\images\MDMA_4_jpg.rf.0cd96697762ca95688765b70d86e32f2.jpg,Mdma,0.79,"[321.24652099609375, 322.367919921875, 472.4021911621094, 492.567626953125]",
dataset\train\images\MDMA_4_jpg.rf.0cd96697762ca95688765b70d86e32f2.jpg,Mdma,0.51,"[1.802490234375, 0.0, 147.0399932861328, 216.53713989257812]",
dataset\train\images\MDMA_4_jpg.rf.0cd96697762ca95688765b70d86e32f2.jpg,Mdma,0.30,"[1.0271728038787842, 168.9932098388672, 261.6706237792969, 492.728515625]",
dataset\train\images\MDMA_4_jpg.rf.6dfe90f96f097390abed36e6158caf7f.jpg,Mdma,0.92,"[14.540112495422363, 318.86004638671875, 154.8168487548828, 476.1551818847656]",
dataset\train\images\MDMA_4_jpg.rf.6dfe90f96f097390abed36e6158caf7f.jpg,Ketamine,0.46,"[18.831029891967773, 0.0, 354.1401672363281, 320.8538513183594]",
dataset\train\images\MDMA_4_jpg.rf.6dfe90f96f097390abed36e6158caf7f.jpg,Ketamine,0.43,"[99.047119140625, 127.07606506347656, 487.9786682128906, 502.4515686035156]",
dataset\train\images\MDMA_4_jpg.rf.7bb71b03a39b7a8b8eb7a4f1732a9938.jpg,Mdma,0.58,"[360.71173095703125, 341.0684509277344, 511.96173095703125, 511.7074279785156]",
dataset\train\images\MDMA_4_jpg.rf.7bb71b03a39b7a8b8eb7a4f1732a9938.jpg,Mdma,0.40,"[14.930310249328613, 0.0, 141.70025634765625, 205.9073486328125]",
dataset\train\images\MDMA_4_jpg.rf.7bb71b03a39b7a8b8eb7a4f1732a9938.jpg,Mdma,0.30,"[12.949462890625, 178.59783935546875, 144.14309692382812, 410.9107360839844]",
dataset\train\images\MDMA_4_jpg.rf.7bb71b03a39b7a8b8eb7a4f1732a9938.jpg,Ketamine,0.25,"[146.30746459960938, 0.0, 427.5503845214844, 236.2903289794922]",
dataset\train\images\MDMA_4_jpg.rf.98b6a995bf60e2dec23386b75d0092cd.jpg,Mdma,0.87,"[334.2002258300781, 360.0764465332031, 512.0, 511.60791015625]",
dataset\train\images\MDMA_4_jpg.rf.98b6a995bf60e2dec23386b75d0092cd.jpg,Mdma,0.38,"[333.01922607421875, 6.559472560882568, 511.7808532714844, 264.352783203125]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Mdma,0.74,"[368.14288330078125, 14.947601318359375, 511.2066345214844, 189.925048828125]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Ketamine,0.39,"[139.79110717773438, 97.48846435546875, 508.353515625, 504.8223571777344]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Ketamine,0.39,"[2.712719678878784, 8.174609184265137, 283.8525085449219, 316.57562255859375]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Mdma,0.29,"[10.333813667297363, 266.03192138671875, 138.81063842773438, 509.5791015625]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Mdma,0.28,"[1.3812255859375, 2.9109129905700684, 140.36720275878906, 297.7702331542969]",
dataset\train\images\MDMA_4_jpg.rf.a60681ec62cfa1e0772230a36c351b97.jpg,Mdma,0.26,"[3.690673828125, 2.9776368141174316, 231.88516235351562, 311.21392822265625]",
dataset\train\images\MDMA_4_jpg.rf.a89b23e346ae1ce4abffaeffee7180ca.jpg,Mdma,0.64,"[34.16156768798828, 2.1469969749450684, 196.6522979736328, 158.5237274169922]",
dataset\train\images\MDMA_4_jpg.rf.a89b23e346ae1ce4abffaeffee7180ca.jpg,Mdma,0.41,"[271.63909912109375, 49.55952072143555, 511.6875, 371.321044921875]",
dataset\train\images\MDMA_4_jpg.rf.a89b23e346ae1ce4abffaeffee7180ca.jpg,Mdma,0.31,"[347.61041259765625, 322.53521728515625, 511.7051696777344, 510.82177734375]",
dataset\train\images\MDMA_4_jpg.rf.a89b23e346ae1ce4abffaeffee7180ca.jpg,Mdma,0.27,"[14.453710556030273, 79.12715148925781, 181.2340545654297, 434.3544006347656]",
dataset\train\images\MDMA_4_jpg.rf.a89b23e346ae1ce4abffaeffee7180ca.jpg,Mdma,0.26,"[349.947021484375, 58.53594970703125, 512.0, 372.70587158203125]",
dataset\train\images\MDMA_4_jpg.rf.c6bcb7b272f4b5ea0ecb1a27b14390d3.jpg,Mdma,0.81,"[334.45849609375, 340.1633605957031, 486.0215759277344, 497.0811462402344]",
dataset\train\images\MDMA_4_jpg.rf.c6bcb7b272f4b5ea0ecb1a27b14390d3.jpg,Ketamine,0.42,"[1.861840844154358, 151.3053741455078, 397.1957092285156, 512.0]",
dataset\train\images\MDMA_4_jpg.rf.c6bcb7b272f4b5ea0ecb1a27b14390d3.jpg,Mdma,0.41,"[315.78668212890625, 0.0, 491.9610900878906, 249.6703643798828]",
dataset\train\images\MDMA_4_jpg.rf.c6bcb7b272f4b5ea0ecb1a27b14390d3.jpg,Ketamine,0.34,"[164.39608764648438, 0.0, 493.524169921875, 314.4876403808594]",
dataset\train\images\MDMA_4_jpg.rf.ee01ecbfe974e5a94af053d3d8378504.jpg,Mdma,0.33,"[403.13519287109375, 371.1300964355469, 512.0, 511.3550720214844]",
dataset\train\images\MDMA_4_jpg.rf.ee01ecbfe974e5a94af053d3d8378504.jpg,Mdma,0.29,"[1.478857398033142, 7.463208198547363, 253.68490600585938, 307.9792175292969]",
dataset\train\images\MDMA_4_jpg.rf.ee01ecbfe974e5a94af053d3d8378504.jpg,Ketamine,0.25,"[74.6693344116211, 189.26693725585938, 470.22491455078125, 510.51470947265625]",
dataset\train\images\MDMA_4_jpg.rf.eea0d1435bbca5b13090f1ab638111af.jpg,Mdma,0.60,"[49.11609649658203, 403.27001953125, 222.6136016845703, 511.72137451171875]",
dataset\train\images\MDMA_4_jpg.rf.eea0d1435bbca5b13090f1ab638111af.jpg,Ketamine,0.42,"[3.1118407249450684, 9.098363876342773, 314.8349914550781, 329.0775451660156]",
dataset\train\images\MDMA_4_jpg.rf.eea0d1435bbca5b13090f1ab638111af.jpg,Ketamine,0.31,"[143.1652374267578, 140.34768676757812, 511.28729248046875, 512.0]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Mdma,0.80,"[388.90325927734375, 307.53350830078125, 512.0, 485.18109130859375]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Ketamine,0.49,"[158.687744140625, 0.0, 491.4560546875, 280.257568359375]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Ketamine,0.44,"[74.8495101928711, 170.1011199951172, 453.237548828125, 512.0]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Mdma,0.35,"[320.50091552734375, 2.894824266433716, 503.4554138183594, 239.71969604492188]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Mdma,0.31,"[172.32583618164062, 0.22666016221046448, 503.89605712890625, 303.8280334472656]",
dataset\train\images\MDMA_4_jpg.rf.f943f120a82e66f6c566cf1dc26304ca.jpg,Ketamine,0.29,"[2.2828369140625, 14.459009170532227, 226.2288818359375, 355.6592102050781]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.98,"[6.040283203125, 221.8578643798828, 215.02523803710938, 510.95867919921875]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.97,"[183.9116668701172, 197.91456604003906, 389.376220703125, 493.26104736328125]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.96,"[0.555798351764679, 20.076732635498047, 149.3042449951172, 222.2342529296875]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.96,"[281.68194580078125, 22.684179306030273, 481.77130126953125, 185.11996459960938]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.96,"[120.89473724365234, 14.123987197875977, 308.95538330078125, 193.79446411132812]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.91,"[362.03704833984375, 181.60797119140625, 504.78472900390625, 467.9510192871094]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.68,"[430.76885986328125, 30.908802032470703, 492.04443359375, 123.88734436035156]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.42,"[411.4681701660156, 469.8446350097656, 491.02911376953125, 511.77899169921875]",
dataset\train\images\MDMA_5_jpg.rf.050f5fa908b2a2069a9927c31a99e7c9.jpg,Mdma,0.28,"[423.08648681640625, 451.0957946777344, 492.3712463378906, 511.90252685546875]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.96,"[167.83934020996094, 34.68317794799805, 377.3750915527344, 342.800537109375]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.95,"[14.250964164733887, 24.041088104248047, 195.11676025390625, 325.72149658203125]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.95,"[223.03189086914062, 354.2597961425781, 417.95928955078125, 512.0]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.95,"[52.92621994018555, 333.38067626953125, 237.5989227294922, 511.2310485839844]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.94,"[350.9453125, 35.076759338378906, 512.0, 343.2626953125]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.89,"[393.6305847167969, 345.85101318359375, 512.0, 512.0]",
dataset\train\images\MDMA_5_jpg.rf.18d8f004a64c31b8c383f7846058aa07.jpg,Mdma,0.48,"[22.669780731201172, 376.79083251953125, 70.98904418945312, 500.8485412597656]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.97,"[356.1524963378906, 3.1650023460388184, 509.4615783691406, 165.5313262939453]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.97,"[161.19500732421875, 149.19027709960938, 365.10076904296875, 448.30511474609375]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.96,"[177.6924285888672, 0.009765625, 379.0633239746094, 142.21493530273438]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.96,"[0.33983153104782104, 141.71102905273438, 186.62074279785156, 450.4436950683594]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.95,"[344.26190185546875, 172.43438720703125, 499.1064453125, 460.00067138671875]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.94,"[23.048120498657227, 0.06640625, 206.14208984375, 137.5839385986328]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.56,"[177.7521209716797, 450.361328125, 308.1575012207031, 504.45977783203125]",
dataset\train\images\MDMA_5_jpg.rf.20143887e35eb0799f7b25945a56ecf0.jpg,Mdma,0.34,"[350.89385986328125, 464.83612060546875, 449.4642028808594, 500.14923095703125]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.96,"[256.7162170410156, 299.21392822265625, 460.54266357421875, 494.76629638671875]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.95,"[10.474804878234863, 103.56828308105469, 230.9198760986328, 368.97113037109375]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.92,"[118.41020202636719, 349.38885498046875, 307.7154846191406, 498.21484375]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.90,"[151.2936553955078, 48.586280822753906, 381.56195068359375, 322.66143798828125]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.89,"[299.8645935058594, 0.0, 512.0, 264.2758483886719]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.83,"[402.8294982910156, 235.69296264648438, 512.0, 452.3280334472656]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.78,"[44.778038024902344, 419.67626953125, 149.3621063232422, 509.5000915527344]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.71,"[1.089013695716858, 30.308568954467773, 90.91197204589844, 125.740234375]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.41,"[95.7965087890625, 0.804211437702179, 234.46450805664062, 71.71736907958984]",
dataset\train\images\MDMA_5_jpg.rf.7c5e66f31bbc16cfecec98d02234977a.jpg,Mdma,0.31,"[11.093335151672363, 246.5749969482422, 98.07179260253906, 414.31121826171875]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.90,"[323.01171875, 0.34808349609375, 511.35546875, 129.5484161376953]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.84,"[343.84332275390625, 142.16134643554688, 512.0, 279.07916259765625]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.83,"[43.97272872924805, 16.984386444091797, 300.1639404296875, 172.37457275390625]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.80,"[0.0, 223.80859375, 50.478450775146484, 348.5418395996094]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.76,"[69.6217269897461, 193.8170623779297, 311.62457275390625, 324.48870849609375]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.75,"[0.2780395448207855, 381.4215393066406, 62.08857345581055, 507.47125244140625]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.73,"[344.91802978515625, 303.9930114746094, 512.0, 440.6988830566406]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.72,"[83.55830383300781, 352.42828369140625, 329.5528869628906, 499.07855224609375]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.58,"[376.8409423828125, 425.1229553222656, 512.0, 512.0]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.53,"[0.1142425537109375, 63.32358932495117, 35.60361862182617, 183.1992645263672]",
dataset\train\images\MDMA_5_jpg.rf.873b284d2b1d4ab1804c37cda593e26a.jpg,Mdma,0.34,"[82.7279281616211, 317.629150390625, 327.9347229003906, 472.86962890625]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.98,"[84.47859191894531, 13.323858261108398, 274.2674865722656, 208.5974884033203]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.97,"[232.2356414794922, 14.383008003234863, 413.6736755371094, 178.0989990234375]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.97,"[0.0, 38.170021057128906, 126.5903549194336, 255.62570190429688]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.97,"[3.843212842941284, 237.4792022705078, 212.36752319335938, 510.5638732910156]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.96,"[157.44815063476562, 200.8967742919922, 373.157958984375, 471.9580078125]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.92,"[305.9910583496094, 165.36148071289062, 496.0970764160156, 430.05987548828125]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.87,"[399.299560546875, 414.3492126464844, 485.5887145996094, 501.07794189453125]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.82,"[373.7242736816406, 22.16299057006836, 475.7789611816406, 121.2422103881836]",
dataset\train\images\MDMA_5_jpg.rf.afb09d24f91c67c53d5bdae11b463621.jpg,Mdma,0.59,"[245.0889129638672, 451.94549560546875, 392.95458984375, 511.93572998046875]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.96,"[166.0117645263672, 73.00471496582031, 357.05084228515625, 353.7520751953125]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.95,"[209.3984375, 361.28570556640625, 389.890625, 512.0]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.95,"[327.70050048828125, 48.203758239746094, 506.18682861328125, 339.559326171875]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.95,"[12.174901962280273, 81.6007308959961, 186.58926391601562, 354.3577575683594]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.93,"[50.7623291015625, 357.1739807128906, 228.4936981201172, 511.95208740234375]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.92,"[364.28070068359375, 333.7911682128906, 496.2239685058594, 512.0]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.78,"[0.567761242389679, 388.98358154296875, 62.617225646972656, 511.41033935546875]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.61,"[0.31513673067092896, 8.576379776000977, 124.3480453491211, 82.38423919677734]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.46,"[0.298348993062973, 399.2049560546875, 46.6020393371582, 511.44403076171875]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.41,"[0.12610474228858948, 218.17715454101562, 41.0589485168457, 399.1687927246094]",
dataset\train\images\MDMA_5_jpg.rf.da378411f9cd36ceeea53b8a6b80ab4e.jpg,Mdma,0.38,"[148.53656005859375, 11.3167724609375, 278.604736328125, 72.50848388671875]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.97,"[3.9073243141174316, 48.68212890625, 192.0177459716797, 327.79852294921875]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.97,"[335.54827880859375, 2.452465772628784, 512.0, 292.6414489746094]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.96,"[160.4029541015625, 21.504491806030273, 357.2612609863281, 315.840576171875]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.95,"[216.53085327148438, 317.71319580078125, 397.5859375, 497.92742919921875]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.94,"[51.261962890625, 332.7896423339844, 229.6318359375, 505.865234375]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.92,"[371.9706115722656, 290.9024353027344, 510.62255859375, 495.0708923339844]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.77,"[0.624951183795929, 373.28924560546875, 71.28128051757812, 509.40411376953125]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.51,"[0.3531738221645355, 0.0, 102.8419418334961, 48.974246978759766]",
dataset\train\images\MDMA_5_jpg.rf.de387451e2035f024cd83247684525e2.jpg,Mdma,0.41,"[0.11127319186925888, 177.461669921875, 40.163116455078125, 390.20843505859375]",
dataset\train\images\MDMA_5_jpg.rf.e0dfc11eb1722876ff1d3f441c5ae1f9.jpg,Mdma,0.96,"[299.61712646484375, 0.0, 508.0135803222656, 285.47540283203125]",
dataset\train\images\MDMA_5_jpg.rf.e0dfc11eb1722876ff1d3f441c5ae1f9.jpg,Mdma,0.96,"[242.5856475830078, 311.1404724121094, 435.26226806640625, 497.581298828125]",
